Event,Start Date,End Date
Riot in Baghdad organized by Ibn al-Khashab (Aleppo's qadi) to try to get help against the Franks,1111,
Muslims prevent Franks from seizing Tyre,1112,
Order of St. John (the Hospitallers) starts,1113,
"Muslims and Franks in Syria together fight Muhammad Ibn Malikshah, Seldjuk sultan",1115,
Franks defeated at Sarmada by Ilghazi of Aleppo,1119,
Order of the Knights Templar begins,1120,
Franks seize Tyre and so occupy the coast to Ascalon,1124-06,
"in Beirut, peasants revolt",1125,
Ibn al-Khashab killed by member(s) of the Assassins,1125,
Zangi becomes ruler of Mosul,1127,
Frankish attempt to seize Damascus fails,1128,
Zangi gets control of Aleppo,1128,
nobles revolt in the Latin kingdom of Jerusalem (the first such revolt),1131,
Zangi unsuccessful in attempt to take Damascus,1135,
King Fulk of Jerusalem captured by Zangi and released,1137,
Zangi besieges Damascus,1139,
Damascus and Jerusalem ally against Zangi,1140,
"Zangi seizes Edessa, ending the first (of four) crusader states in the mideast",1144,
"Zangi murdered (reportedly by a slave), his son Nur al-Din inherits Aleppo",1146,
"The Second Crusade, includes crusades in Spain, the eastern border of Germany as well as the middle east",1147,1149
Crusaders in Spain take Lisbon,1147,
"Crusaders under Conrad of Germany and Louis VII of France besiege Damascus, giving up after Nur al-Din arrives at the request of Damascus",1148,
"Nur al-Din gets Damascus, unifying the parts of Syria that are Muslim",1154,
Nur al-Din's general Shirkuh fights for control of Egypt for Nur al-Din,1163,1169
"Shirkuh gets control of Egypt, becomes vizier, then dies within two months; he is succeeded by Saladin, his nephew",1169,
Nur al-Din gets control of Mosul upon brother's death,1170,
Saladin declares Fatimid control of Egypt is over and becomes sole ruler; start of Ayyubid dynasty; increasing tension between Nur al-Din and Saladin,1171,
"Nur al-Din dies, power struggle ensues for control of his son",1174,
Saladin seizes Damascus,1174,
"Saladin seizes Aleppo, reuniting Egypt and Syria",1183,
"Saladin officially controls Egypt and Damascus, Aleppo and Mosul",1185,
Saladin defeats armies of the Frankish states at the Battle of Hattin,1187-07-04,
"Saladin retakes Jerusalem and (about the same time) most of the land the Franks had controlled, leaving the Franks only Tyre, Tripoli, and Antioch",1187-10-02,
"Third Crusade, major Franks were Richard I of England, Philip II of France, and Frederick I (the Holy Roman Emperor)",1189,1192
Frederick I dies crossing the river Goksu,1190-06,
"Richard and Philip arrive in the mideast, besiege Acre",1191-06,
"Acre falls to Richard and Philip, who then decide who will rule Jerusalem (between Guy and Conrad), Philip then leaves and Richard seizes Arsuf and Jaffa, refortifies Ascalon",1191-07,
"Richard and Saladin sign a treaty, ending their fighting",1192-09-02,
Richard leaves the mideast,1192-10-09,
"Saladin dies, several years of civil war follow, until his brother al-Adil, takes control",1193,
"Frederick I's son, Henry VI goes on crusade",1197,
Henry VI dies,1197-09-28,
Henry VI's nobles reach a treaty with Muslims and leave,1198-07-01,
Order of Teutonic Knights begins (Acre is their main base),1198,
Fourth Crusade,1202,1204
"Some of the crusaders seize Zara from the king of Hungary, a fellow crusader, for the Venetians to earn fare",1202,
"Crusaders take Constantinople, put Alexius IV on the throne",1203-07-17,
Murzuphlus seizes throne and tries to expel crusaders,1204-01,
"Crusaders seize and sack Constantinople, found Latin Empire out of Byzantine lands; a government-in-exile formed",1204-04-12,
Albigensian crusade in southern France against Cathar heretics,1209,1229
Children's Crusade,1212,
Pope Innocent III begins planning the Fifth Crusade,1213,
Imposition of a crusade tax (on Church estates),1215,
"Innocent III dies, planning continued by successor, Pope Honorius III",1216-07-16,
"Fifth Crusade, consists of various attacks on Egypt",1217,1229
Andrew II of Hungary tries for Acre,1217,1218
"Crusade in Egypt led by Cardinal Pelagius; he seized Damietta and tried to take Cairo but was defeated by al-Kamil, Egypt's sultan",1219,1221
Genghis Khan dies; ensuing wars for succession lessen Mongol threat for a time,1227,
"Holy Roman Emperor Frederick II, while under papal interdict, crusades in Egypt; al-Kamil gives him Jerusalem under a treaty; Jerusalem then under interdict",1228,1229
"Francis of Assisi fails to convert al-Kamil, sultan of Egypt",1219,
Teutonic Knights start attacking Prussia,1230,
Byzantines have retaken Asia Minor,1235,
Ferdinand III of Castile begins attack on Cordova,1236,
Army of Aragon takes Valencia,1238,
Theobald of Champage and Richard of Cornwall lead a small crusade,1239,1241
Franks lose Jerusalem for the final time,1244,
Pope Innocent IV sends missionaries to Mongols; other negotiations follow,1245,
"Louis IX plans crusade; Frederick keeps al-Kamil's son, Ayyub, informed of plans",1247,
Sixth Crusade,1248,1254
"Louis IX of France invades Egypt; he seizes Damietta, but is defeated and captured at the Mansurah; released for ransom (and Damietta)",1248,1250
"End of Ayyubid dynasty, Mamluks now control Egypt",1248,1250
"Möngke, grandson of Genghis Khan, controls Mongols",1251,
"Mongols under Hülegü (Genghis Khan's grandson) take Baghdad, kill the last Abbasid caliph; the population is massacred",1258-02,
Qutuz becomes leader of Egypt in coup,1259-12,
Mongols under Hülegü take Aleppo,1260-01,
Mongols under Hülegü take Damascus,1260-03-01,
Möngke dies; Hülegü returns to fight for succession,1260,
Battle of 'Ayn Jalut: Mamluks under Qutuz defeat Mongols,1260-09-03,
Mamluks take Damascus,1260-09-08,
Baybars kills Qutuz and becomes sultan; he controls Cairo without a fight but there is some conflict,1260-10-23,
"Byzantines recapture Constantinople, end of Latin Empire",1261-07-25,
Hülegü dies,1265,
Baybars seizes Antioch (formerly allied to Mongols),1268-05-18,
Baybars seizes Jaffa,1268,
Seventh Crusade: Louis IX attacks Tunis,1270,
Louis IX dies near Tunis,1270-08-25,
Baybars is poisoned and dies; Qalawun becomes sultan,1277,
"Qalawun, the Mamluk sultan, retakes Tripoli from Franks",1289-04-26,
Qalawun dies; his son Khalil assumes power,1290-11,
"Khalil retakes Acre, ending what we are defining as the Great Crusades; crusaders fall back to Cyprus",1291-06-17,
